id,category,pegi,commentCount,commentScore,appSizeMB,downloads,ranking,FirstRGB,FirstHEX,FirstHSL,SecondRGB,SecondHEX,SecondHSL
1,Adventure,7,18444527,4.4,95.0,100000000,1,"(50, 52, 56)",#323438,"(219, 6%, 21%)","(200, 158, 136)",#c89e88,"(20, 37%, 66%)"
2,Adventure,7,18444527,4.4,95.0,100000000,1,"(55, 68, 69)",#374445,"(184, 11%, 24%)","(210, 199, 147)",#d2c793,"(49, 41%, 70%)"
3,Adventure,12,1037284,4.5,328.0,10000000,3,"(79, 80, 86)",#4f5056,"(231, 4%, 32%)","(215, 204, 188)",#d7ccbc,"(35, 25%, 79%)"
4,Adventure,12,1037284,4.5,328.0,10000000,3,"(100, 166, 158)",#64a69e,"(172, 27%, 52%)","(216, 222, 204)",#d8decc,"(80, 21%, 84%)"
5,Adventure,12,2033735,4.3,123.0,10000000,5,"(59, 39, 23)",#3b2717,"(26, 44%, 16%)","(203, 158, 78)",#cb9e4e,"(38, 55%, 55%)"
6,Adventure,12,2033735,4.3,123.0,10000000,5,"(39, 37, 56)",#272538,"(246, 20%, 18%)","(221, 177, 158)",#ddb19e,"(18, 48%, 74%)"
7,Adventure,3,80477,4.3,-1.0,5000000,6,"(86, 110, 171)",#566eab,"(223, 34%, 50%)","(220, 164, 120)",#dca478,"(26, 59%, 67%)"
8,Adventure,3,80477,4.3,-1.0,5000000,6,"(148, 80, 51)",#945033,"(17, 49%, 39%)","(213, 205, 151)",#d5cd97,"(52, 42%, 71%)"
9,Adventure,3,41676,4.7,66.0,1000000,7,"(155, 188, 158)",#9bbc9e,"(125, 20%, 67%)","(39, 80, 47)",#27502f,"(131, 34%, 23%)"
10,Adventure,3,41676,4.7,66.0,1000000,7,"(102, 123, 85)",#667b55,"(93, 18%, 41%)","(237, 199, 102)",#edc766,"(43, 79%, 66%)"
11,Adventure,12,510579,4.3,94.0,10000000,8,"(76, 81, 82)",#4c5152,"(190, 4%, 31%)","(208, 195, 175)",#d0c3af,"(36, 26%, 75%)"
12,Adventure,12,510579,4.3,94.0,10000000,8,"(132, 99, 79)",#84634f,"(22, 25%, 41%)","(224, 218, 195)",#e0dac3,"(47, 32%, 82%)"
13,Adventure,3,147448,4.4,126.0,5000000,9,"(86, 65, 101)",#564165,"(274, 22%, 33%)","(212, 129, 55)",#d48137,"(28, 65%, 52%)"
14,Adventure,3,147448,4.4,126.0,5000000,9,"(131, 86, 111)",#83566f,"(326, 21%, 43%)","(228, 214, 189)",#e4d6bd,"(38, 42%, 82%)"
15,Adventure,12,503938,4.3,494.0,10000000,10,"(83, 78, 77)",#534e4d,"(10, 4%, 31%)","(227, 209, 182)",#e3d1b6,"(36, 45%, 80%)"
16,Adventure,12,503938,4.3,494.0,10000000,10,"(168, 171, 146)",#a8ab92,"(67, 13%, 62%)","(18, 62, 93)",#123e5d,"(204, 68%, 22%)"
17,Adventure,12,523319,4.5,109.0,10000000,11,"(61, 86, 133)",#3d5685,"(219, 37%, 38%)","(237, 186, 149)",#edba95,"(25, 71%, 76%)"
18,Adventure,12,523319,4.5,109.0,10000000,11,"(190, 175, 156)",#beaf9c,"(33, 21%, 68%)","(15, 78, 70)",#0f4e46,"(172, 68%, 18%)"
19,Adventure,16,91275,4.2,153.0,1000000,12,"(63, 62, 38)",#3f3e26,"(57, 25%, 20%)","(198, 190, 172)",#c6beac,"(41, 19%, 73%)"
20,Adventure,16,91275,4.2,153.0,1000000,12,"(78, 88, 112)",#4e5870,"(222, 18%, 37%)","(207, 172, 162)",#cfaca2,"(13, 32%, 72%)"
21,Adventure,16,86268,4.6,7.0,5000000,14,"(86, 59, 27)",#563b1b,"(32, 52%, 22%)","(218, 168, 78)",#daa84e,"(38, 65%, 57%)"
