id,word,category,pegi,commentCount,commentScore,appSizeMB,downloads,ranking
1,FREE,Action,12,72179284,4.3,46.0,500000000,1
5,THE,Action,12,72179284,4.3,46.0,500000000,1
6,NEW,Action,12,72179284,4.3,46.0,500000000,1
7,BEGINNING,Action,12,72179284,4.3,46.0,500000000,1
8,STHEREW,Action,12,72179284,4.3,46.0,500000000,1
9,BEGINNING,Action,12,72179284,4.3,46.0,500000000,1
10,ITT,Action,12,72179284,4.3,46.0,500000000,1
11,FREE,Action,12,72179284,4.3,46.0,500000000,1
14,BERMUDA,Action,12,72179284,4.3,46.0,500000000,1
15,REMASTERED,Action,12,72179284,4.3,46.0,500000000,1
17,NEW,Action,12,72179284,4.3,46.0,500000000,1
18,EXPERIENCE,Action,12,72179284,4.3,46.0,500000000,1
19,FREE,Action,12,72179284,4.3,46.0,500000000,1
22,BACK,Action,12,72179284,4.3,46.0,500000000,1
24,POPULAR,Action,12,72179284,4.3,46.0,500000000,1
25,DEMAND,Action,12,72179284,4.3,46.0,500000000,1
26,MELEE,Action,12,72179284,4.3,46.0,500000000,1
27,WEAPON,Action,12,72179284,4.3,46.0,500000000,1
29,SCYTHE,Action,12,72179284,4.3,46.0,500000000,1
30,THENEW,Action,12,72179284,4.3,46.0,500000000,1
31,BEGINNING,Action,12,72179284,4.3,46.0,500000000,1
32,RECRUIT,Action,12,3070660,4.2,103.0,100000000,2
33,THE,Action,12,3070660,4.2,103.0,100000000,2
34,PERFECT,Action,12,3070660,4.2,103.0,100000000,2
35,TEAM,Action,12,3070660,4.2,103.0,100000000,2
36,HARD,Action,12,3070660,4.2,103.0,100000000,2
38,CAPTAN,Action,12,3070660,4.2,103.0,100000000,2
39,MAO,Action,12,3070660,4.2,103.0,100000000,2
49,INEMYCLASES,Action,12,3070660,4.2,103.0,100000000,2
50,VEw,Action,12,3070660,4.2,103.0,100000000,2
51,Gegt,Action,12,3070660,4.2,103.0,100000000,2
52,DETALS,Action,12,3070660,4.2,103.0,100000000,2
53,DEG,Action,12,3070660,4.2,103.0,100000000,2
54,OUES,Action,12,3070660,4.2,103.0,100000000,2
55,eor,Action,12,3070660,4.2,103.0,100000000,2
56,EAM,Action,12,3070660,4.2,103.0,100000000,2
58,GEST,Action,12,3070660,4.2,103.0,100000000,2
59,EWC,Action,12,3070660,4.2,103.0,100000000,2
64,QUEST,Action,12,3070660,4.2,103.0,100000000,2
66,BATTLE,Action,12,3070660,4.2,103.0,100000000,2
67,WITH,Action,12,3070660,4.2,103.0,100000000,2
68,YOUR,Action,12,3070660,4.2,103.0,100000000,2
69,ALLIANCE,Action,12,3070660,4.2,103.0,100000000,2
70,FAGHT,Action,12,3070660,4.2,103.0,100000000,2
71,STORY,Action,12,3070660,4.2,103.0,100000000,2
72,OESTS,Action,12,3070660,4.2,103.0,100000000,2
73,MUTNIMSTIC,Action,12,3070660,4.2,103.0,100000000,2
78,NEXT,Action,12,3070660,4.2,103.0,100000000,2
81,evT,Action,12,3070660,4.2,103.0,100000000,2
